Agency Name,Agency Code
Department of the Air Force - Agency Wide,AF00
Department of Agriculture - Agency Wide,AG00
National Foundation on the Arts and the Humanities - Agency Wide,AH00
Department of the Army - Agency Wide,AR00
Department of Commerce - Agency Wide,CM00
Department of Defense - Agency Wide,DD00
Department of Justice - Agency Wide,DJ00
Department of Energy - Agency Wide,DN00
Department of Education - Agency Wide,ED00
Court Services and Offender Supervision Agency for DC - Agency Wide,FQ00
General Services Administration - Agency Wide,GS00
Department of Health and Human Services - Agency Wide,HE00
Department of Homeland Security - Agency Wide,HS00
Department of Housing and Urban Development - Agency Wide,HU00
Department of the Interior - Agency Wide,IN00
Judicial Branch - Agency Wide,JL00
Legislative Branch - Agency Wide,LL00
National Aeronautics and Space Administration - Agency Wide,NN00
Department of the Navy - Agency Wide,NV00
Department of State - Agency Wide,ST00
Department of Transportation - Agency Wide,TD00
Department of the Treasury - Agency Wide,TR00
Department of Veterans Affairs - Agency Wide,VA00
Department of the Air Force,AF
Department of Agriculture,AG
Department of the Army,AR
Department of Commerce,CM
Department of Defense,DD
Department of Justice,DJ
Department of Labor,DL
Department of Education,ED
Department of Energy,DN
General Services Administration,GS
Department of Health and Human Services,HE
Department of Homeland Security,HS
Department of Housing and Urban Development,HU
Department of the Interior,IN
National Aeronautics and Space Administration,NN
Department of the Navy,NV
Armed Forces Retirement Homes,RH
Department of State,ST
Department of Transportation,TD
Department of the Treasury,TR
Department of Veterans Affairs,VA
Executive Office of the President,EOP
Central Intelligence Agency,CI
Court Services and Offender Supervision Agency for DC,FQ
Judicial Branch,JL
Legislative Branch,LL
Smithsonian Institution,SM
National Transportation Safety Board,TB
Air Force Inspection Agency (FO),AF02
Air Force Operational Test and Evaluation Center,AF03
Air Force Communications Agency (Historical),AF04
Air Force Intelligence Analysis Agency,AF05
Air Force Audit Agency,AF06
Air Force Office of Special Investigations,AF07
"Headquarters, U.S. Air Force Security Forces Center",AF08
Air Force Personnel Center,AF09
U.S. Air Force Academy,AF0B
"U.S. Air Forces, Europe",AF0D
Air Force Reserve Personnel Center,AF0I
Air Education and Training Command,AF0J
Air University,AF0K
"Headquarters, Air Force Reserve Command",AF0M
"Immediate Office, Headquarters, USAF",AF0N
Pacific Air Forces,AF0R
"Air Force Intelligence, Surveillance, & Reconnaissance Agency",AF0U
Air Force Communications Command,AF0Y
Air Force Center for Quality & Management Innovation,AF10
Air Combat Command,AF1C
Air Force Logistics Management Agency,AF1G
Air Mobility Command,AF1L
Air Force Materiel Command,AF1M
Air Force Real Property Agency,AF1P
HQ AF Flight Standards Agency,AF1Q
"Headquarters, Air Force Space Command",AF1S
Engineering and Support Agency,AF1W
Air Force Agency for Modeling and Simulation,AF27
Air Force Communication and Information Center,AF28
Air Force National Security Emergency Preparedness,AF29
Air Force Cost Analysis Agency,AF2A
Air Force Doctrine Center,AF2B
Air Force Civilian Personnel Management Center,AF2C
Air Force Personnel Operations Agency,AF2D
Air Force Legal Operations Agency,AF2E
Air Force Medical Support Agency,AF2F
Air Force Service Information and News Center,AF2G
Air Force Operations Group,AF2H
Air National Guard Readiness Center,AF2I
Air Force Historical Research Agency,AF2K
Air Force Technical Applications Center,AF2L
Air Force Review Boards Agency,AF2M
Air Force Studies and Analyses Agency,AF2N
Air Force Center for International Programs,AF2P
"Headquarters, Air Weather Agency",AF2Q
Air Force Program Executive Office,AF2R
Air Force Elements NORAD,AF2S
Air Force Safety Center,AF2T
Air Force Services Agency,AF2U
Air Force Disposal Agency,AF2V
11th Wing,AF2W
Air Force Real Estate Agency,AF2X
Air Force Pentagon Communications Agency,AF2Y
Air Force Medical,AF2Z
Air National Guard,AF34
"Air Force Elements, U.S. Central Command",AF3C
"Air Force Elements, U.S. Special Operations Command",AF3D
"Air Force Elements, NATO",AF3G
"Reservist, Centrally Managed",AF3I
Center for Air Force History,AF3L
"Air Force Elements, U.S. Southern Command",AF3M
"Air Force Elements, U.S. Joint Forces Command",AF3N
"Air Force Elements, U.S. Pacific Command",AF3O
"Air Force Elements, U.S. Strategic Command",AF3Q
"Air Force Elements, US Readiness Command",AF3R
Space Command and NORAD,AF3S
"Air Force Elements, U.S. Transportation Command",AF3T
Air Force Elements,AF3V
Air Force Center for Engineer & Environment,AF3W
Air Force Frequency Management Agency,AF3Y
"Joint Services Survival, Evasion, Resistance & Escape Agency",AF3Z
Air National Guard Units,AFNG
U.S. Special Operations Command (ANG),AFZG
"Air Force, Special Operations Command",AFZS
Office of the Secretary of Agriculture,AG01
Agricultural Marketing Service,AG02
Agricultural Research Service,AG03
"Agriculture, Rural Development",AG07
Risk Management Agency,AG08
Foreign Agricultural Service,AG10
Forest Service,AG11
Office of Communications,AG13
Office of the General Counsel,AG14
Rural Utilities Service,AG15
Natural Resources Conservation Service,AG16
Economic Research Service,AG18
National Agricultural Statistics Service,AG20
National Institute of Food and Agriculture,AG22
Office of the Inspector General,AG23
Rural Business-Cooperative Service,AG32
Animal and Plant Health Inspection Service,AG34
"Grain Inspection, Packers and Stockyards Administration",AG36
Food Safety and Inspection Service,AG37
Office of the Chief Economist,AG38
Office of Budget and Program Analysis,AG42
"Agriculture, Office of the Chief Financial Officer",AG90
Alternative Agric Res & Commercialization -terminated,AGAW
Civil Rights,AGCR
Departmental Administration,AGDA
